#RavenParameters.dat
#parameter name, class type, units, autogeneratable, reasonable default, minimum, maximum
#xxx provided as a missing value placeholder

UBC_S_CORR GLOBAL [0..1][12] True 1.0 0.25 2.0
UBC_N_CORR GLOBAL [0..1][12] True 1.0 0.25 2.0
UBC_GW_SPLIT GLOBAL [0..1] True 0.6 0.0 1.0
UBC_EXPOSURE_FACT GLOBAL [0..1] False 0.0 0.0 1.0   #updated
UBC_CLOUD_PENET GLOBAL [0..1] False 0.0 0.0 1.0     #updated
UBC_LW_FOREST_FACT GLOBAL [mm/d/C] False 0.0 0.0 1000.0   # TO BE VERIFIED
UBC_FLASH_PONDING GLOBAL [mm] False 0.0 0.0 1000.0
AIRSNOW_COEFF GLOBAL [1/d] False 0.0 0.0 100.0   # TO BE VERIFIED
MOHYSE_PET_COEFF GLOBAL [mm/d] True 1.0 0.0 1000.0    # TO BE VERIFIED
TOC_MULTIPLIER GLOBAL [mm] True 1.0 0.2 5.0

TOPMODEL_LAMBDA TERRAIN [m] False 5.0 1.0 10.0

TIME_CONC SUBBASIN [d] False 1.0 0.0 200.0
TIME_TO_PEAK SUBBASIN [d] False 1.0 0.0 100.0
TIME_LAG SUBBASIN [d] True 0.0 0.0 5.0
NUM_RESERVOIRS SUBBASIN [-] False 0 0 10
RES_CONSTANT SUBBASIN [1/d] False 1.0 0.0 10000.0
Q_REFERENCE SUBBASIN [m3/s] True 10.0 0.0001 10000000.0
MANNINGS_N SUBBASIN [-] False 0.0 0.01 0.1      # TO BE VERIFIED
SLOPE  SUBBASIN [-] False 0.01 0.0 10.0
RAIN_CORR SUBBASIN [1] True 1.0 0.5 2.0
SNOW_CORR SUBBASIN [1] True 1.0 0.5 2.0
GAMMA_SHAPE SUBBASIN [-] False 1.0 0.1 10.0
GAMMA_SCALE SUBBASIN [1/d] False 3.0 0.1 20.0

#Newly Added
#soil_struct
#Missing in Properties.h file
COMPRESSIBILITY SOIL [-] False  -9999 -9999 9999
FREEZING_POINT SOIL [C] False  -9999 -9999 9999
CLAPP_B SOIL [-] True  -9999 -9999 9999
CLAPP_N SOIL [-] True  -9999 -9999 9999
CLAPP_M SOIL [-] True  -9999 -9999 9999

#Missing parameter range
VIC_B_EXP SOIL [-] False  -9999 -9999 9999
PERC_ASPEN SOIL [mm/d] False -9999 -9999 9999

ORG_CON SOIL [0..1] False 0.0 0.0 1.0   # In docs it's 0.8, but param.dat was 1.0
SAND_CON SOIL [0..1] False 1.0 0.0 1.0
CLAY_CON SOIL [0..1] False 0.0 0.0 1.0
STONE_FRAC SOIL [0..1] True 0.0 0.0 1.0
BULK_DENSITY SOIL [kg/m3] True 1.0 0.0001 10000.0
CAP_RATIO SOIL [-] False 0.0 0.0 1.0
HEAT_CAPACITY SOIL [MJ/m3/K] True 1.0 0.0001 10000.0
THERMAL_COND SOIL [W/m/K] True 1.0 0.0001 10000.0
SAT_RES SOIL [0..1] True 0.0 0.0 1.0
AIR_ENTRY_PRESSURE SOIL [-mm] True 0.01 0.001 1.0
WILTING_PRESSURE SOIL [-mm] True 40.0 0.001 100.0
EVAP_RES_FC SOIL [d/mm] True 1.0 0.0 1.0
SHUTTLEWORTH_B SOIL [-] True 1.0 0.0 1.0
ALBEDO_WET SOIL [-] True 0.2 0.0 1.0
ALBEDO_DRY SOIL [-] True 0.5 0.0 1.0
BASEFLOW_COEFF2 SOIL [1/d] False 0.1 0.0 1.0    # TO BE VERIFIED
STORAGE_THRESHOLD SOIL [mm] False 1.0 0.0 100.0     #updated
INTERFLOW_COEFF SOIL [1/d] False 1.0 0.0 1.0    # TO BE VERIFIED
UBC_EVAP_SOIL_DEF SOIL [mm] False 1.0 0.0 100.0 # TO BE VERIFIED
GR4J_x2 SOIL [mm/d] False 0.0 0.0 1000.0
GR4J_x3 SOIL [mm] False 90.0 0.0 1000.0
RETARDATION SOIL [-] True 1.0 1.0 50.0
MINERALIZ_RATE SOIL [1/d] True 0.0 0.0 1.0  # TO BE VERIFIED
LOSS_RATE SOIL [1/d] True 0.0 0.0 1.0   # TO BE VERIFIED
TRANSF_COEFF SOIL [1/d] True 0.0 0.0 1.0    # TO BE VERIFIED
STOICHIO_COEFF SOIL [1/d] True 0.0 0.0 1.0  # TO BE VERIFIED


#veg_struct (seems to be maximum and minimum)
MAX_HEIGHT VEG [m] False 25.0 0.0 1000.0
MAX_HT VEG [m] False 25.0 0.0 1000.0
MAX_LEAF_COND VEG [mm/s] False 5.3 0.0 1000.0
MAX_LAI VEG [m2/m2] False 6.0 0.0 1000.0
SVF_EXTINCTION VEG [-] True 0.5 0.0 1.0
RAIN_ICEPT_FACT VEG [-] True 0.06 0.0 1.0
SNOW_ICEPT_FACT VEG [-] True 0.04 0.0 1.0
RAIN_ICEPT_PCT VEG [0..1] True 0.12 0.0 1.0
SNOW_ICEPT_PCT VEG [0..1] True 0.1 0.0 1.0
SAI_HT_RATIO VEG [m2/m3] True 0.0 0.0 1.0
RELATIVE_HT VEG [m/m] True 1.0 0.0 100.0
RELATIVE_LAI VEG [m/m] True 1.0 0.0 100.0
VEG_DENS VEG [1/m2] False 300.0 1.0 500.0
VEG_DIAM VEG [m] False 0.0003 0.0 2.0
VEG_MBETA VEG [-] False 32.0 20.0 200.0     # TO BE VERIFIED
PET_VEG_CORR VEG [0..1] True 1.0 0.0 1.0    # TO BE VERIFIED
ROOT_EXTINCT VEG [-] False 0.0 0.0 1.0      # TO BE VERIFIED
MAX_ROOT_LENGTH VEG [0..1] False 200.0 0.0 1000.0   # TO BE VERIFIED
MIN_RESISTIVITY VEG [d/mm] False 1.0 0.0 1.0
XYLEM_FRAC VEG [0..1] False 0.01 0.0 1.0
ROOTRADIUS VEG [mm] False 4.0 0.0 100.0     # TO BE VERIFIED
PSI_CRITICAL VEG [-mm] False 0.0 0.0 1.0
DRIP_PROPORTION VEG [1/d] False 0.2 0.0 1.0
MAX_INTERCEPT_RATE VEG [mm/d] False 10.0 0.0 100.0  # TO BE VERIFIED
CHU_MATURITY VEG [-] False 2800.0 0.0 5000.0
UPTAKE_MODERATOR VEG [-] True 1.0 0.0 1.0       # TO BE VERIFIED

#veg_var_struct
LAI VEG [m2/m2] False 4.0 0.0 7.0
SAI VEG [m2/m2] False 0.0 0.0 2.0
HEIGHT VEG [m] False 1.0 0.0 100.0
CAPACITY VEG [mm] xxx 0.0 0.0 100.0     #TO BE VERIFIED
SNOW_CAPACITY VEG [mm SWE] xxx 0.0 0.0 100.0  # TO BE VERIFIED
LEAF_COND VEG [mm/s] xxx 5.3 0.0 1000.0     # TO BE VERIFIED
CANOPY_CONDUCTANCE VEG [mm/s] xxx 0.0 0.0 100.0 # TO BE VERIFIED
SHELTER_FACTOR VEG [-] xxx 0.0 0.0 1.0      # TO BE VERIFIED
SKYVIEW_FACT VEG [0..1] xxx 0.0 0.0 1.0     # TO BE VERIFIED
ROUGHNESS VEG [m] xxx 0.0 0.0 10.0
ZERO_PLN_DISP VEG [m] xxx 0.0 0.0 10.0  # TO BE VERIFIED
REFERENCE_HEIGHT VEG [m] xxx 0.0 0.0 100.0  # TO BE VERIFIED
ROOT_LENGTH VEG  [mm/m2] xxx 200.0 0.0 1000.0   # TO BE VERIFIED
RESISTIVITY VEG [d/mm] xxx 1.0 0.0 1.0      # TO BE VERIFIED
REL_ROOTDEN VEG [m/m3] xxx 0.1 0.0 1.0  # TO BE VERIFIED
ROOT_RESISTANCE VEG [d] xxx 0.0 0.0 1000.0      # TO BE VERIFIED
COWAN_ALPHA VEG [Mpa] xxx 0.0 0.0 1.0       # TO BE VERIFIED

#surface_struct
FOREST_SPARSENESS LULT [0..1] True 0.0 0.0 1.0  # In docs the max is 0.99
UBC_ICEPT_FACTOR LULT [0..1] True 0.0 0.0 1.0
WIND_EXPOSURE LULT [0..1] False 0.0 0.0 1.0
MIN_MELT_FACTOR LULT [mm/d/C] True 5.04 0.0 6.0
MAX_MELT_FACTOR LULT [mm/d/C] False 6.0 0.0 8.0
DD_AGGRADATION LULT [1/mm] False 0.01 0.0 0.15
DD_REFREEZE_TEMP LULT [C] True 0.0 -4.0 4.0
REFREEZE_EXP LULT [-] True 1.0 1.0 5.0     # TO BE VERIFIED
HBV_MELT_FOR_CORR LULT [-] True 1.0 0.0 1.0     # updated
HBV_MELT_ASP_CORR LULT [-] True 0.0 0.0 1.0     #updated
FETCH LULT [m] False 0.0 0.0 1000.0
CONV_MELT_MULT LULT [-] True 0.113 0.0 1.0
COND_MELT_MULT LULT [-] True 0.44 0.0 1.0
RAIN_MELT_MULT LULT [-] True 1.0 0.0 1.0
BSNOW_DISTRIB LULT [-] False 0.4 0.0 1.0
MAX_DEP_AREA_FRAC LULT [0..1] False 0.0 0.0 1.0
PONDED_EXP LULT [-] False 2.0 0.2 5.0
FOREST_PET_CORR LULT [-] True 1.0 0.5 1.5
AET_COEFF LULT [-] False 0.5 0.0 1.0
LAKE_REL_COEFF LULT [1/d] False 0.3 0.001 0.5   #updated
GR4J_X4 LULT [d] False 1.7 0.0 100.0      #updated
GAMMA_SHAPE2 LULT [-] False 1.0 0.1 10.0
GAMMA_SCALE2 LULT [1/d] False 3.0 0.1 20.0
SKY_VIEW_FACTOR LULT [-] True 0.8 0.0 1.0   # TO BE VERIFIED
CONVECTION_COEFF LULT [MJ/m2/d/K] False 20.0 0.0 1000.0     # TO BE VERIFIED

#terrain_struct
DRAINAGE_DENSITY TERRAIN [km/km2] False 1.0 0.0 100.0   # TO BE VERIFIED
HILLSLOPE_LENGTH TERRAIN [m] False 100.0 0.0 1000.0     # TO BE VERIFIED
LAMBDA TERRAIN [m] False 7.5 0.0 1000.0     # TO BE VERIFIED

#UBC_lapse
UBC_A0STAB GLOBAL [0..1] False 0.0 0.0 1.0
UBC_A0TLXM GLOBAL [0..1] False 0.0 0.0 1.0
UBC_A0TLNM GLOBAL [0..1] False 0.0 0.0 1.0
UBC_A0TLXH GLOBAL [0..1] False 0.0 0.0 1.0
UBC_A0TLNH GLOBAL [0..1] False 0.0 0.0 1.0
UBC_P0TEDL GLOBAL [0..1] False 0.0 0.0 1.0
UBC_P0TEDU GLOBAL [0..1] False 0.0 0.0 1.0
UBC_E0LLOW GLOBAL [0..1] False 0.0 0.0 1.0
UBC_E0LMID GLOBAL [0..1] False 0.0 0.0 1.0
